FI;GRP;RS;FI_ET;RS_ET;BOR;AN
140000852;06;ANIDER;140002254;ANIDER;ST;2013
140000852;06;ANIDER;140027434;ANIDER - HONFLEUR;ST;2013
140000852;06;ANIDER;270017338;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;ST;2013
140000852;06;ANIDER;270017379;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;ST;2013
140000852;06;ANIDER;270017429;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;ST;2013
140000852;06;ANIDER;270017478;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;ST;2013
140000852;06;ANIDER;500021373;ANIDER - MARIGNY;ST;2013
140000852;06;ANIDER;500021381;ANIDER - ST SAUVEUR LE VICOMTE;ST;2013
140000852;06;ANIDER;500021399;ANIDER - TOURLAVILLE;ST;2013
140000852;06;ANIDER;500021415;ANIDER - SARTILLY;ST;2013
140000852;06;ANIDER;610006710;ANIDER - ARGENTAN;ST;2013
140000852;06;ANIDER;610006728;ANIDER - ALENCON;ST;2013
140000852;06;ANIDER;610006736;ANIDER - FLERS;ST;2013
140000852;06;ANIDER;760025619;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;ST;2013
140000852;06;ANIDER;760025668;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;ST;2013
140000852;06;ANIDER;760025718;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;ST;2013
140000852;06;ANIDER;760025759;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;ST;2013
140000852;06;ANIDER;760025809;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;ST;2013
140000852;06;ANIDER;760025858;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;ST;2013
140000852;06;ANIDER;760025908;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;ST;2013
140000852;06;ANIDER;760026088;UDM ET DIALYSE A DOMICILE ASS ANIDER;ST;2013
140000852;06;ANIDER;760026138;UDM BOIS GUILLAUME ASS ANIDER;ST;2013
140000852;06;ANIDER;760917773;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;ST;2013
140000852;06;ANIDER;760921106;CENTRE DE FORMATION ASS ANIDER;ST;2013
140000852;06;ANIDER;760921718;UDM ET DIALYSE A DOMICILE ASS ANIDER;ST;2013
140026279;02;CENTRE HOSPITALIER DE LA COTE FLEURIE;140000241;CH COTE FLEURIE - SITE D'EQUEMAUVILLE;ST;2013
140026279;02;CENTRE HOSPITALIER DE LA COTE FLEURIE;140000324;CH COTE FLEURIE - SITE DE TROUVILLE;ST;2013
140026279;02;CENTRE HOSPITALIER DE LA COTE FLEURIE;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;ST;2013
150780047;02;CH DE CONDAT EN FENIERS;150000024;CH DE CONDAT EN FENIERS;ST;2013
150780088;02;CENTRE HOSPITALIER DE SAINT FLOUR;150000032;CENTRE HOSPITALIER DE SAINT FLOUR;ST;2013
150780088;02;CENTRE HOSPITALIER DE SAINT FLOUR;150780773;CENTRE MEDICO PSYCHOLOGIQUE VOLZAC;ST;2013
150780096;02;CENTRE HOSPITALIER H.MONDOR;150000040;CENTRE HOSPITALIER HENRI MONDOR;ST;2013
150780096;02;CENTRE HOSPITALIER H.MONDOR;150780823;CTRE HOSP ANNEXE CUEILHES;ST;2013
150780393;02;CENTRE HOSPITALIER PIERRE RAYNAL;150000149;CENTRE HOSPITALIER PIERRE RAYNAL;ST;2013
150780468;02;CENTRE HOSPITALIER DE MAURIAC;150000164;CENTRE HOSPITALIER DE MAURIAC;ST;2013
150780468;02;CENTRE HOSPITALIER DE MAURIAC;150002921;USLD - UNITÉ PARKINSON D'YDES;ST;2013
150780500;02;CH DE MURAT;150000180;CH DE MURAT;ST;2013
160000121;02;HOP LOCAL & CTRE HEBERG ROCHEFOUCAULD;160000188;CTRE HOSPITALIER DE LA ROCHEFOUCAULD;ST;2013
160000451;02;CENTRE HOSPITALIER D'ANGOULEME;160000253;CENTRE HOSPITALIER D'ANGOULEME;ST;2013
160000485;02;HOPITAL LABAJOUDERIE -CONFOLENS;160000311;CTRE HOSPITALIER -LABAJOUDERIE-;ST;2013
160000485;02;HOPITAL LABAJOUDERIE -CONFOLENS;160006391;USLD CONFOLENS - EHPAD;ST;2013
160000493;02;CENTRE HOSPITALIER DE RUFFEC;160000337;CENTRE HOSPITALIER DE RUFFEC;ST;2013
160000501;02;C H CAMILLE CLAUDEL - LA COURONNE;160000345;CH CAMILLE CLAUDEL - LA COURONNE;ST;2013
160000519;02;CENTRE HOSPITALIER DE CHATEAUNEUF;160000360;CTRE HOSPTALIER DE CHATEAUNEUF;ST;2013
160006037;02;C. H. -HOPITAUX DU SUD CHARENTE-;160000154;CTRE MEDICAL CHATEAU ST-BERNARD;ST;2013
160006037;02;C. H. -HOPITAUX DU SUD CHARENTE-;160000303;CENTRE HOSPITALIER (H. SUD CHARENTE);ST;2013
160014411;02;CTRE HOSP INTERCOMM DU PAYS DE COGNAC;160000261;CHI DU PAYS DE COGNAC - SSR;ST;2013
160014411;02;CTRE HOSP INTERCOMM DU PAYS DE COGNAC;160006409;USLD CTRE GERONTO Pers Agées;ST;2013
160014411;02;CTRE HOSP INTERCOMM DU PAYS DE COGNAC;160015368;CHI Pays de Cognac;ST;2013
160014643;02;GCS G.C.C. ONCOLOGIE & RADIOTHERAPIE;160014650;GCC EN ONCOLOGIE ET RADIOTHERAPIE;ST;2013
170000723;08;SCM HEYMANS-VERET-LANGLOIS-DUTIN;170783138;CENTRE D'ONCOLOGIE ET RADIOTHERAPIE;ST;2013
170000988;06;ASSOC DEVELOP AUTODIALYSE 17;170009419;A.D.A. 17;ST;2013
170000988;06;ASSOC DEVELOP AUTODIALYSE 17;170021711;A.D.A. 17;ST;2013
170000988;06;ASSOC DEVELOP AUTODIALYSE 17;170023030;A.D.A. 17;ST;2013
170000988;06;ASSOC DEVELOP AUTODIALYSE 17;170785059;ADA 17;ST;2013
170000988;06;ASSOC DEVELOP AUTODIALYSE 17;170792212;A.D.A. 17;ST;2013
170000988;06;ASSOC DEVELOP AUTODIALYSE 17;170794929;A.D.A. 17;ST;2013
170000988;06;ASSOC DEVELOP AUTODIALYSE 17;170795165;A.D.A. 17;ST;2013
170000988;06;ASSOC DEVELOP AUTODIALYSE 17;170802656;A.D.A.17;ST;2013
170000988;06;ASSOC DEVELOP AUTODIALYSE 17;170804090;A.D.A. 17;ST;2013
170022057;02;GCS URGENCES DU PAYS ROYANNAIS;170022065;GCS URGENCES PAYS ROYANNAIS - ROYAN;ST;2013
170022057;02;GCS URGENCES DU PAYS ROYANNAIS;170022818;GCS PAYS ROYANNAIS-ST GEORGES DE DIDONNE;ST;2013
170022057;02;GCS URGENCES DU PAYS ROYANNAIS;170022826;GCS PAYS ROYANNAIS- PASTEUR;ST;2013
170023279;02;GROUPE HOSP. DE LA ROCHELLE-RE-AUNIS;170000087;GROUPE HOSP. LA ROCHELLE-RE-AUNIS;ST;2013
170023279;02;GROUPE HOSP. DE LA ROCHELLE-RE-AUNIS;170000111;C.H. ST HONORE - ST-MARTIN-DE-RE;ST;2013
170023279;02;GROUPE HOSP. DE LA ROCHELLE-RE-AUNIS;170782981;CH LA ROCHELLE (PSY) 17G01 17G02 17I01;ST;2013
170023279;02;GROUPE HOSP. DE LA ROCHELLE-RE-AUNIS;170784110;CH LA ROCHELLE -SSR Pers Agées;ST;2013
170023279;02;GROUPE HOSP. DE LA ROCHELLE-RE-AUNIS;170791321;USLD (CH LA ROCHELLE);ST;2013
170780050;02;CENTRE HOSPITALIER DE JONZAC;170000038;CENTRE HOSPITALIER JONZAC;ST;2013
170780050;02;CENTRE HOSPITALIER DE JONZAC;170783146;CENTRE HOSPITALIER JONZAC (CHS);ST;2013
170780118;02;MAISON REPOS CONVALESC MARLONGES;170000061;C.S.S. DU CHATEAU MARLONGES - CHAMBON;ST;2013
170780142;02;HOPITAL LOCAL ST PIERRE OLERON;170000079;CTRE HOSPITALIER ST-PIERRE D'OLERON;ST;2013
170780167;02;C.H. DE SAINT-JEAN D'ANGELY;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;ST;2013
170780175;02;CTRE HOSP. DE SAINTONGE - SAINTES;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;ST;2013
170780175;02;CTRE HOSP. DE SAINTONGE - SAINTES;170020994;C.A.T.T.P. + HOP JOUR PSY ADULT - S5;ST;2013
170780175;02;CTRE HOSP. DE SAINTONGE - SAINTES;170792220;CH SAINTONGE - SOINS DE SUITE & READAP;ST;2013
170780191;02;CENTRE HOSPITALIER DE ROYAN;170000129;CENTRE HOSPITALIER ROYAN;ST;2013
170780209;02;H.L. DUBOIS MEYNARDIE MARENNES;170000137;CTRE HOSP. DUBOIS MEYNARDIE - MARENNES;ST;2013
170780225;02;CENTRE HOSPITALIER ROCHEFORT;170000152;CENTRE HOSPITALIER ROCHEFORT;ST;2013
170780266;02;CENTRE HOSPITALIER DE BOSCAMNANT;170000178;CENTRE HOSPITALIER BOSCAMNANT;ST;2013
180000028;02;CH JACQUES COEUR  DE BOURGES;180000010;HOPITAL JACQUES COEUR - CH BOURGES;ST;2013
180000028;02;CH JACQUES COEUR  DE BOURGES;180003287;SSR TAILLEGRAIN - CH BOURGES;ST;2013
180000028;02;CH JACQUES COEUR  DE BOURGES;180009177;CHATEAU DES GADEAUX - CH BOURGES;ST;2013
180000051;02;CH DE VIERZON;180000200;CENTRE HOSPITALIER DE VIERZON;ST;2013
180000051;02;CH DE VIERZON;180003345;USSR  LA NOUE - CH DE VIERZON;ST;2013
180000069;02;CH DE SAINT AMAND-MONTROND;180000283;CH SAINT AMAND-MONTROND;ST;2013
180000069;02;CH DE SAINT AMAND-MONTROND;180003386;USSR DU CH DE ST- AMAND-MONTROND;ST;2013
180000093;02;CH DE SANCERRE;180000333;CH SANCERRE;ST;2013
180001158;02;CH GEORGES SAND E.P.S.I.C. DU CHER;180000176;CH GEORGE SAND BOURGES;ST;2013
180001158;02;CH GEORGES SAND E.P.S.I.C. DU CHER;180007825;USLD DU CH DE DUN SUR AURON;ST;2013
190000042;02;CENTRE HOSPITALIER DUBOIS BRIVE;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;ST;2013
190000042;02;CENTRE HOSPITALIER DUBOIS BRIVE;190011601;SITE SPECIALISE HENRI LABORIT;ST;2013
190000059;02;CENTRE HOSPITALIER DE TULLE;190000026;CENTRE HOSPITALIER TULLE;ST;2013
190000059;02;CENTRE HOSPITALIER DE TULLE;190002493;CONVALESCENCE CURE READAPT. DU CHANDOU;ST;2013
190000059;02;CENTRE HOSPITALIER DE TULLE;190011197;CTRE MEDECINE PHYSIQUE ET READAPTATION;ST;2013
190000067;02;HOPITAL LOCAL BORT-LES-ORGUES;190000034;CENTRE HOSPITALIER DE BORT LES ORGUES;ST;2013
190000075;02;CENTRE HOSPITALIER D'USSEL;190000091;CENTRE HOSPITALIER D'USSEL;ST;2013
190002485;02;CENTRE HOSPITALIER GERIATRIQUE UZERCHE;190005140;USLD ALEXIS BOYER D'UZERCHE;ST;2013
190002519;02;EHPAD DE CORNIL;190005165;UNITE DE SOINS LONGUE DUREE DE CORNIL;ST;2013
210010070;02;CH INTERCOMMUNAL CHATILLON MONTBARD;210987665;CH INTERCOMMUNAL CHATILLON MONTBARD;ST;2013
210010070;02;CH INTERCOMMUNAL CHATILLON MONTBARD;210987673;CH INTERCOMMUNAL CHATILLON MONTBARD;ST;2013
210010773;08;SCM DRS ALTWEGG, BONE-LEPINOY, JANORAY;210005559;CTRE D'ONCOLOGIE RADIOTHERAPIE ALTWEGG;ST;2013
210011482;02;C H AUXOIS MORVAN;210983466;USLD ALISE-STE-REYNE CHAM;ST;2013
210011482;02;C H AUXOIS MORVAN;210983565;USLD SAULIEU CHAM;ST;2013
210011482;02;C H AUXOIS MORVAN;210987608;CENTRE HOSPITALIER Vitteaux AUXOIS MORVAN;ST;2013
210011482;02;C H AUXOIS MORVAN;210987681;CHAM SAULIEU C.H AUXOIS-MORVAN;ST;2013
210780417;08;CRLCC GEORGES-FRANCOIS LECLERC;210987731;CLCC GEORGES-FRANCOIS LECLERC;ST;2013
210780581;02;CHU DE DIJON;210781621;HOPITAL GÉNÉRAL CHU DIJON;ST;2013
210780581;02;CHU DE DIJON;210986089;MÉDECINE À CHAMPMAILLOT CHU DIJON;ST;2013
210780581;02;CHU DE DIJON;210987558;HÔPITAL LE BOCAGE CHU DIJON;ST;2013
210780607;02;CH LA CHARTREUSE;210987632;CH LA CHARTREUSE DIJON;ST;2013
210780607;02;CH LA CHARTREUSE;210987939;USLD CH LA CHARTREUSE DIJON;ST;2013
210780623;02;CH D'ARNAY-LE-DUC;210987574;HÔPITAL LOCAL ARNAY-LE-DUC;ST;2013
210780631;02;CH D'IS SUR TILLE;210987582;CENTRE HOSPITALIER IS-SUR-TILLE;ST;2013
210780649;02;CH DE NUITS SAINT GEORGES;210987590;CENTRE HOSPITALIER DE  NUITS-ST-GEORGES;ST;2013
210780656;02;CH DE SEURRE;210987616;CENTRE HOSPITALIER SEURRE;ST;2013
210780672;02;CH D'AUXONNE;210987640;CENTRE HOSPITALIER D'AUXONNE;ST;2013
210780706;02;CENTRE HOSPITALIER ROBERT MORLEVAT;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;ST;2013
210780714;02;CH DE BEAUNE;210987657;CH BEAUNE;ST;2013
220000020;02;CENTRE HOSPITALIER DE SAINT BRIEUC;220000012;CENTRE HOSPITALIER YVES LE FOLL;ST;2013
220000020;02;CENTRE HOSPITALIER DE SAINT BRIEUC;220019061;SSR GERIATRIQUE;ST;2013
220000020;02;CENTRE HOSPITALIER DE SAINT BRIEUC;220020101;UDM DE LANNION;ST;2013
220000020;02;CENTRE HOSPITALIER DE SAINT BRIEUC;220020119;UDM DE PAIMPOL;ST;2013
220000020;02;CENTRE HOSPITALIER DE SAINT BRIEUC;220022149;UDM SITE CH GUINGAMP;ST;2013
220000046;02;CENTRE HOSPITALIER RENE PLEVEN;220000095;CTRE HOSPITALIER DINAN;ST;2013
220000046;02;CENTRE HOSPITALIER RENE PLEVEN;220006472;CTRE DE LONG SEJOUR CH DINAN;ST;2013
220000079;02;CENTRE HOSPITALIER GUINGAMP;220000343;CENTRE HOSPITALIER GUINGAMP;ST;2013
220000103;02;CENTRE HOSPITALIER LANNION;220000368;CENTRE HOSPITALIER LANNION;ST;2013
220000103;02;CENTRE HOSPITALIER LANNION;220005557;CTRE DE LONG SEJOUR CH LANNION;ST;2013
220000103;02;CENTRE HOSPITALIER LANNION;220012884;CENTRE REEDUCATION DE TRESTEL;ST;2013
220000152;02;CENTRE HOSPITALIER PAIMPOL;220000541;CENTRE HOSPITALIER PAIMPOL;ST;2013
220000152;02;CENTRE HOSPITALIER PAIMPOL;220006423;CTRE DE LONG SEJOUR CH PAIMPOL;ST;2013
220000186;02;CENTRE HOSPITALIER QUINTIN;220000574;CENTRE HOSPITALIER QUINTIN;ST;2013
220005045;02;CENTRE HOSPITALIER TREGUIER;220001259;CENTRE HOSPITALIER TREGUIER;ST;2013
220005045;02;CENTRE HOSPITALIER TREGUIER;220007645;USLD CH TREGUIER;ST;2013
220020895;08;GROUPE MEDICAL CLINIQUE ARMORICAINE;220020697;SELARL GROUPE MEDICAL CLINIQUE ARMORICAINE DE RADIOLOGIE;ST;2013
220021968;02;CENTRE HOSPITALIER DE LAMBALLE;220000566;CENTRE HOSPITALIER LAMBALLE;ST;2013
220021968;02;CENTRE HOSPITALIER DE LAMBALLE;220006456;CTRE LONG SEJOUR CH LAMBALLE;ST;2013
230780041;02;CENTRE HOSPITALIER DE GUERET;230000259;USLD - CH GUERET;ST;2013
230780041;02;CENTRE HOSPITALIER DE GUERET;230000820;CENTRE HOSPITALIER GUERET;ST;2013
230780058;02;CENTRE HOSPITALIER D'AUBUSSON;230000838;CENTRE HOSPITALIER D'AUBUSSON;ST;2013
230780058;02;CENTRE HOSPITALIER D'AUBUSSON;230004657;SITE CROIX BLANCHE;ST;2013
230780066;02;C H BERNARD DESPLAS BOURGANEUF;230000846;C H BERNARD DESPLAS  BOURGANEUF;ST;2013
230780074;02;CENTRE HOSPITALIER  SAINT VAURY;230000853;CENTRE HOSPITALIER SAINT VAURY;ST;2013
230780512;02;CENTRE HOSPITALIER M L S EVAUX;230000952;CTRE HOSPITALIER MOYEN SEJOUR EVAUX;ST;2013
230780520;02;CTRE HOSPITALIER LA SOUTERRAINE;230000960;CTRE HOSPITAL MOYEN SEJOUR SOUTERRAINE;ST;2013
240000034;02;CENTRE HOSPITALIER LANMARY;240000091;C.H DE LANMARY;ST;2013
240000042;02;CENTRE HOSPITALIER DE BELVES;240000174;CENTRE HOSPITALIER DE BELVES;ST;2013
240000059;02;CENTRE HOSPITALIER DE BERGERAC;240000372;C.H DE BERGERAC;ST;2013
240000067;02;CENTRE HOSPITALIER DE DOMME;240000414;CENTRE HOSPITALIER DE DOMME;ST;2013
240000075;02;CENTRE HOSPITALIER D'EXCIDEUIL;240000455;CENTRE HOSPITALIER D'EXCIDEUIL;ST;2013
240000083;02;CH DE VAUCLAIRE;240000463;CENTRE HOSPITALIER VAUCLAIRE;ST;2013
240000109;02;CENTRE HOSPITALIER DE NONTRON;240000471;CENTRE HOSPITALIER DE NONTRON;ST;2013
240000117;02;CENTRE HOSPITALIER DE PERIGUEUX;240000489;CENTRE HOSPITALIER DE PERIGUEUX;ST;2013
240000117;02;CENTRE HOSPITALIER DE PERIGUEUX;240003392;HOPITAL DE JOUR ENFANTS LES NYMPHEAS (EN FAIT TOUS LES SECTEURS DE PSYCHIATRIE ADULTES ET ENFANTS);ST;2013
240000133;02;CENTRE HOSPITALIER DE RIBERAC;240000505;CENTRE HOSPITALIER DE RIBERAC;ST;2013
240000141;02;CH DE ST ASTIER;240000513;CENTRE HOSPITALIER DE SAINT-ASTIER;ST;2013
240000158;02;CENTRE HOSPITALIER CHENARD;240000521;CENTRE HOSPITALIER CHENARD;ST;2013
240000166;02;CENTRE HOSPITALIER  LA MEYNARDIE;240000539;CENTRE HOSPITALIER LA MEYNARDIE;ST;2013
240000448;02;CENTRE HOSPITALIER JEAN LECLAIRE;240000687;CENTRE HOSPITALIER SARLAT;ST;2013
240000596;06;S A POLYCLINIQUE FRANCHEVILLE;240006734;CENTRE D'HEMODIALYSE FRANCHEVILLE;ST;2013
240013417;06;SARL ANTENNES AUTODIALYSE FRANCHEVILLE;240003293;ANTENNE D'AUTODIALYSE FRANCHEVILLE - RIBERAC;ST;2013
240013417;06;SARL ANTENNES AUTODIALYSE FRANCHEVILLE;240003301;ANTENNE D'AUTODIALYSE FRANCHEVILLE - MONTIGNAC;ST;2013
240013417;06;SARL ANTENNES AUTODIALYSE FRANCHEVILLE;240013219;ANTENNE/UNITE DE DIALYSE FRANCHEVILLE - PERIGUEUX;ST;2013
240013417;06;SARL ANTENNES AUTODIALYSE FRANCHEVILLE;240013466;ANTENNE D'AUTODIALYSE FRANCHEVILLE - BERGERAC;ST;2013
250000015;02;CHU BESANCON;250000023;CHU SAINT-JACQUES;ST;2013
250000015;02;CHU BESANCON;250006954;CHU JEAN MINJOZ;ST;2013
250000221;02;HL P NAPPEZ MORTEAU;250000627;HL P NAPPEZ MORTEAU;ST;2013
250000239;02;CH BAUME LES DAMES;250000635;HL STE CROIX BAUME LES DAMES;ST;2013
250000452;02;CHI DE HAUTE-COMTÉ;250000619;PSYCHIATRIQUE ADULTE PONTARLIER;ST;2013
250000452;02;CHI DE HAUTE-COMTÉ;250000700;CHI HAUTE COMTÉ SITE DE PONTARLIER;ST;2013
250000452;02;CHI DE HAUTE-COMTÉ;250000734;CHI HAUTE-COMTÉ SITE R. SALINS MOUTHE;ST;2013
250000452;02;CHI DE HAUTE-COMTÉ;250007234;USLD PONTARLIER;ST;2013
250000452;02;CHI DE HAUTE-COMTÉ;390000099;CHI HAUTE-COMTÉ SITE STE BARBE NOZEROY;ST;2013
250000460;02;CHS NOVILLARS;250000718;CHS NOVILLARS;ST;2013
250000478;02;HL ST LOUIS ORNANS;250000726;HL ST LOUIS ORNANS;ST;2013
250000569;02;CTRE SOINS TILLEROYES;250000759;CENTRE DE SOINS ET DE READAPTATION - LES TILLEROYES;ST;2013
250002839;02;CRF ET MR QUINGEY;250000882;CRF  QUINGEY;ST;2013
250007598;02;CLS BELLEVAUX;250001237;USLD BELLEVAUX;ST;2013
250007788;02;CSHLD J WEINMAN AVANNE;250001252;USLD  J WEINMAN AVANNE;ST;2013
260000021;02;CH DE VALENCE;260000013;CH DE VALENCE;ST;2013
260000047;02;CH DE MONTÉLIMAR;260000138;CH DE MONTÉLIMAR;ST;2013
260000047;02;CH DE MONTÉLIMAR;260006655;HJ ENFANTS CH DE MONTÉLIMAR;ST;2013
260000054;02;CENTRE HOSPITALIER DE CREST;260000146;CENTRE HOSPITALIER DE CREST;ST;2013
260000070;02;HOPITAL LOCAL DIEULEFIT;260000229;HÔPITAL LOCAL DE DIEULEFIT;ST;2013
260000088;02;HOPITAL LOCAL DE NYONS;260000237;HL DE NYONS;ST;2013
260000096;02;HL DE BUIS LES BARONNIES;260000278;HL DE BUIS LES BARONNIES;ST;2013
260000104;02;CENTRE HOSPITALIER DIE;260000286;CENTRE HOSPITALIER DIE;ST;2013
260003264;02;CHS LE VALMONT MONTÉLÉGER;260000823;CHS LE VALMONT;ST;2013
260003264;02;CHS LE VALMONT MONTÉLÉGER;260010012;USLD CHS LE VALMONT MONTÉLEGER;ST;2013
260016910;02;HÔPITAUX DRÔME NORD;260000120;HOPITAUX DROME NORD ROMANS;ST;2013
260016910;02;HÔPITAUX DRÔME NORD;260000203;HOPITAUX DROME NORD ST VALLIER;ST;2013
260016910;02;HÔPITAUX DRÔME NORD;260003280;SCE DE SPECIALITE LE VERCORS CH ROMANS;ST;2013
270000060;02;CH BERNAY;270000045;CH BERNAY;ST;2013
270000086;02;POLE SANITAIRE DU VEXIN CH GISORS;270000367;CH GISORS;ST;2013
270000102;02;CH DE LA RISLE PONT-AUDEMER;270000425;CH PONT-AUDEMER;ST;2013
270000110;02;CH VERNEUIL-SUR-AVRE;270000441;CH VERNEUIL-SUR-AVRE;ST;2013
270000136;02;CH LES ANDELYS;270000474;HL SAINT-JACQUES LES ANDELYS;ST;2013
270000144;02;CH PIERRE HURABIELLE BOURG-ACHARD;270000482;CH PIERRE HURABIELLE BOURG-ACHARD;ST;2013
270000177;02;CH LE NEUBOURG;270000516;HL LE NEUBOURG;ST;2013
270000185;02;CH PACY-SUR-EURE;270000532;CH PACY-SUR-EURE;ST;2013
270000219;02;NOUVEL HOPITAL DE NAVARRE;270000573;NOUVEL HOPITAL DE NAVARRE;ST;2013
270002652;08;SELARL  CTRE DE RADIOTHERAPIE;270021439;CENTRE DE RADIOTHERAPIE D'EVREUX;ST;2013
270023724;02;CHI EURE-SEINE;270000359;CH EVREUX CHI EURE-SEINE;ST;2013
270023724;02;CHI EURE-SEINE;270000458;CH VERNON CHI EURE-SEINE;ST;2013
280000134;02;CH DE CHARTRES;280000043;CH CHARTRES - HÔTEL DIEU;ST;2013
280000134;02;CH DE CHARTRES;280000696;CH CHARTRES - VAL DE L'EURE;ST;2013
280000134;02;CH DE CHARTRES;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;ST;2013
280000142;02;CH SPECIALISE HENRI EY;280000050;CH BONNEVAL;ST;2013
280000183;02;CH DE DREUX;280000084;CH DREUX;ST;2013
280000225;02;CH DE LA LOUPE;280000100;CH DE LA LOUPE;ST;2013
280000589;02;CH NOGENT- LE- ROTROU;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;ST;2013
280000852;06;A. I. R. B. P.;280006594;A.I.R.B.P. IRC NOGENT-LE-ROTROU;ST;2013
280000852;06;A. I. R. B. P.;280502741;AUTODIALYSE ET DIALYSE A DOMICILE;ST;2013
280000852;06;A. I. R. B. P.;280503848;UNITE DIALYSE MEDICALISEE& AUTODIALYSE;ST;2013
280000852;06;A. I. R. B. P.;280504309;CENTRE D'AUTODIALYSE -A.I.R.B.P.-;ST;2013
280000852;06;A. I. R. B. P.;910811959;UNITE AUTODIALYSE AIRBP ETAMPES;ST;2013
280001025;06;SAS CLINIQUE NEPHROLOGIQUE VERNOUILLET;280504689;CTRE HEMODIAL. -MAISON BLANCHE-;ST;2013
280500075;02;CH DE CHATEAUDUN;280000662;CH CHATEAUDUN;ST;2013
290000017;02;C.H.R.U. BREST;290000058;CHRU HOPITAL MORVAN;ST;2013
290000017;02;C.H.R.U. BREST;290000256;CENTRE HOSPITALIER DE CARHAIX;ST;2013
290000017;02;C.H.R.U. BREST;290004324;CHRU HOPITAL CAVALE BLANCHE;ST;2013
290000017;02;C.H.R.U. BREST;290004340;HOP. DE BOHARS (ANN.CHU BREST);ST;2013
290000017;02;C.H.R.U. BREST;290004365;CENTRE DE CURE MED.& CONVALESC.;ST;2013
290000017;02;C.H.R.U. BREST;290017946;CTRE LONG SEJOUR BOHARS - CHRU BREST;ST;2013
290000041;02;CH FERDINAND GRALL LANDERNEAU;290000173;CH FERDINAND GRALL LANDERNEAU;ST;2013
290000074;02;CENTRE HOSPITALIER DOUARNENEZ;290000181;CENTRE HOSPITALIER DOUARNENEZ;ST;2013
290000074;02;CENTRE HOSPITALIER DOUARNENEZ;290008853;CTRE DE LONG SEJOUR - CH DOUARNENEZ;ST;2013
290000090;02;CENTRE HOSPITALIER CROZON;290000272;CENTRE HOSPITALIER CROZON;ST;2013
290000108;02;CENTRE HOSPITALIER LESNEVEN;290000322;CENTRE HOSPITALIER LESNEVEN;ST;2013
290000116;02;CENTRE HOSPITALIER LANMEUR;290000389;CENTRE HOSPITALIER LANMEUR;ST;2013
290000298;02;EPSM ETIENNE GOURMELEN;290000918;ETAB PUBLIC SANTE MENTALE GOURMELEN;ST;2013
290000298;02;EPSM ETIENNE GOURMELEN;290020841;USLD TREOUGUY - PONT L'ABBE;ST;2013
290000298;02;EPSM ETIENNE GOURMELEN;290024462;RESIDENCE DE KERFILY - EPMS GOURMELEN;ST;2013
290000306;02;CENTRE HOSPITALIER DE QUIMPERLE;290000934;C.H DE QUIMPERLE SITE LA VILLENEUVE;ST;2013
290000306;02;CENTRE HOSPITALIER DE QUIMPERLE;290003995;HOPITAL de KERGLANCHARD;ST;2013
290000306;02;CENTRE HOSPITALIER DE QUIMPERLE;290014687;CTRE DE LONG SEJOUR - CH QUIMPERLE;ST;2013
290000751;02;CENTRE HOSPITALIER ST RENAN;290001015;CENTRE HOSPITALIER ST RENAN;ST;2013
290020700;02;CTRE HOSP.INTERCOM.CORNOUAILLE;290000025;CHIC  - QUIMPER -;ST;2013
290020700;02;CTRE HOSP.INTERCOM.CORNOUAILLE;290000066;CENTRE HOSPITALIER CONCARNEAU;ST;2013
290020700;02;CTRE HOSP.INTERCOM.CORNOUAILLE;290005826;CTRE MOYEN SEJOUR LAENNEC;ST;2013
290020700;02;CTRE HOSP.INTERCOM.CORNOUAILLE;290017599;CTRE LONG SEJOUR CONCARNEAU - CHIC;ST;2013
290020700;02;CTRE HOSP.INTERCOM.CORNOUAILLE;290025113;LONG SEJOUR TY CREAC'H - CHIC QUIMPER;ST;2013
290020700;02;CTRE HOSP.INTERCOM.CORNOUAILLE;290025147;LONG SEJOUR TY GLAZIK - CHIC QUIMPER;ST;2013
290020700;02;CTRE HOSP.INTERCOM.CORNOUAILLE;290029982;SMUR SITE CH DOUARNENEZ - CHIC;ST;2013
290021542;02;CENTRE HOSPITALIER DES PAYS DE MORLAIX;290000033;C.H. DES PAYS DE MORLAIX;ST;2013
290021542;02;CENTRE HOSPITALIER DES PAYS DE MORLAIX;290000553;CENTRE MEDICAL -LE GUERVENAN-;ST;2013
